catalog_id,initial,name,runtime_family,runtime_type,languages_or_code,execution_model,bytecode_or_ir,memory_management,typical_environment,sandbox_model,provider_or_project,engine_or_host_relation,stateofjs_runtime_rank_2025,stateofjs_runtime_users_2025,stateofjs_runtime_use_pct_2025,stateofjs_edge_rank_2025,stateofjs_edge_users_2025,stateofjs_edge_use_pct_2025,stackoverflow_web_rank_2025,stackoverflow_web_used_pct_2025,country_data_status,gender_data_status,notes,source_url
71,C,CircuitPython,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
72,C,CircuitPython Runtime,Embedded / constrained,Embedded runtime / VM,"Java ME, .NET, Python, JavaScript, Ruby, Lua, Go, WebAssembly",Interpreter / AOT / JIT varies,Bytecode / native / Wasm,Small-footprint managed or manual,"Microcontrollers, IoT, RTOS",Device/firmware constraints,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
73,C,Clasp Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
74,C,CLDC KVM,Embedded / constrained,Embedded runtime / VM,"Java ME, .NET, Python, JavaScript, Ruby, Lua, Go, WebAssembly",Interpreter / AOT / JIT varies,Bytecode / native / Wasm,Small-footprint managed or manual,"Microcontrollers, IoT, RTOS",Device/firmware constraints,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
75,C,ClearScript V8,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
76,C,CLISP Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
77,C,Clojerl Runtime,BEAM / Erlang,Concurrent VM / runtime system,"Erlang, Elixir, Gleam, LFE and BEAM languages",Bytecode interpreter + JIT / AOT variants,BEAM bytecode,Per-process GC / managed memory,"Server, distributed systems, embedded",Process isolation inside VM + OS boundary,Erlang/OTP ecosystem,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.erlang.org/docs/27/system/system_principles.html
78,C,Clojure JVM Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
79,C,ClojureCLR Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
80,C,ClojureScript JavaScript Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
81,C,Cloudflare Workers Runtime,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,5,1294,11.6,2,1702,17.7,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
82,C,Clozure CL Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
83,C,CLPython,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
84,C,CMUCL Runtime,Lisp / Scheme / Clojure,Language runtime / compiler runtime,"Common Lisp, Scheme, Clojure",Native compiler / bytecode interpreter / JVM / JS varies,Native / JVM bytecode / VM bytecode,Garbage collected,"Server, desktop, scripting, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Lisp_software_and_tools
85,C,Codon Runtime,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
86,C,Cog VM,Smalltalk / Self,Object VM / language runtime,"Smalltalk, Self, Newspeak",Bytecode interpreter + JIT varies,Smalltalk bytecode / object memory,Garbage collected,"Desktop, research, server, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://opensmalltalk.org/
87,C,Common Language Runtime (CLR),.NET / CLI,Managed runtime / CLI VES implementation,"C#, F#, Visual Basic .NET, CLI languages",JIT + optional AOT,CIL / metadata,Garbage collected,"Server, desktop, cloud, mobile",Managed runtime; OS process/application isolation,Microsoft / .NET,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
88,C,compiler-rt,Native system runtimes,Runtime library / ABI layer,"C, C++ and native languages",Native execution support,Native machine code / ABI,Manual / language-specific,"Operating systems, embedded, native applications",OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
89,C,Continuum JavaScript Runtime,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
90,C,CoreCLR,.NET / CLI,Managed runtime / CLI VES implementation,"C#, F#, Visual Basic .NET, CLI languages",JIT + optional AOT,CIL / metadata,Garbage collected,"Server, desktop, cloud, mobile",Managed runtime; OS process/application isolation,Microsoft / .NET,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
91,C,CoreCLR JIT / RyuJIT,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
92,C,CoreRT,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
93,C,Cosmos IL2CPU Runtime,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
94,C,CosmWasm VM,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
95,C,CPython,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
96,C,Crossgen2 Runtime,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
97,C,CRuby / MRI,Ruby,Language runtime / VM / JIT,Ruby,Interpreter / bytecode VM / JIT / AOT varies,YARV bytecode / JVM bytecode / native / JavaScript varies,Garbage collected,"Server, desktop, embedded, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
98,C,Crystal GC Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
99,C,Crystal Runtime,Native / compiled-language runtime systems,Runtime system / execution engine,"Go, Haskell, OCaml, Julia, R, Swift, Kotlin Native, Rust, Zig, Nim, D, Ada, Fortran and others",Native compiled / JIT / bytecode varies,Native code / LLVM IR / language-specific IR,Manual / GC / ARC / ownership varies,Native desktop/server/embedded,OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
100,C,CUDA Driver Runtime,GPU / accelerator,Accelerator execution runtime,"CUDA, HIP, OpenCL, SYCL, C/C++, accelerator kernels",JIT / AOT / device execution,PTX / SPIR-V / native GPU code,Host/device managed,GPU / accelerator computing,Driver/device boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://docs.nvidia.com/cuda/cuda-runtime-api/index.html
